company	first_name	last_name	email	state
Thoughtblab	Gerald	Harper	gharper0@sun.com	FL
Fatz	John	Gomez	jgomez1@netscape.com	FL
Babbleopia	Michelle	Harper	mharper2@shinystat.com	AL
Tazz	Chris	Gutierrez	cgutierrez3@com.com	UT
Zoomzone	Joshua	Mitchell	jmitchell4@mozilla.org	VA
Vimbo	Mark	Long	mlong5@hud.gov	FL
Edgeblab	Amy	Edwards	aedwards6@rediff.com	FL
Kanoodle	Edward	Mcdonald	emcdonald7@slate.com	NY
Layo	Kimberly	Phillips	kphillips8@free.fr	CO
Meetz	Billy	Campbell	bcampbell9@furl.net	PA
Voomm	Marilyn	Coleman	mcolemana@dailymail.co.uk	FL
Zazio	Patricia	Ramirez	pramirezb@yolasite.com	MO
Dabshots	Kathleen	Adams	kadamsc@tripadvisor.com	OH
Jabbercube	Earl	Fernandez	efernandezd@webeden.co.uk	PA
Topdrive	Janice	Lane	jlanee@quantcast.com	IL
